a,b,c
1928,URY,17
1928,POL,20
1928,CZE,17
1928,NER,0
1928,BRA,0
1928,AUT,11
1928,LTU,0
1928,IDN,0
1928,CHL,1
1928,UKR,0
1928,UGA,0
1928,SYR,0
1928,QAT,0
1928,KUW,0
1928,SSD,0
1928,SAU,0
1928,ARE,0
1928,HRV,0
1928,DEU,0
1928,ARM,0
1928,SRB,0
1928,NGA,0
1928,IND,14
1928,BEL,6
1928,DZA,0
1928,JAM,0
1928,TTO,0
1928,COL,0
1928,LUX,1
1928,BWA,0
1928,TUN,0
1928,KOR,0
1928,PRK,0
1928,CHN,0
1928,BIH,12
1928,GUY,0
1928,ISR,0
1928,KAZ,0
1928,GEO,0
1928,KEN,0
1928,ISL,0
1928,HTI,1
1928,MYS,0
1928,IRQ,0
1928,CZE,0
1928,SVK,0
1928,BHS,0
1928,AUS,0
1928,PRY,0
1928,MNE,0
1928,IRL,1
1928,PRT,6
1928,GTM,0
1928,SRB,0
1928,TZA,0
1928,LBN,0
1928,KGZ,0
1928,LVA,0
1928,NLD,0
1928,VEN,0
1928,THA,0
1928,TGO,0
1928,PER,0
1928,EST,9
1928,SVN,0
1928,NPL,0
1928,CHN,0
1928,ZWE,0
1928,MNG,0
1928,MDA,0
1928,CIV,0
1928,FJI,0
1928,SEN,0
1928,DOM,0
1928,PHL,1
1928,EGY,0
1928,SGP,0
1928,NAM,0
1928,LIE,0
1928,WIF,0
1928,AUT,0
1928,BMU,0
1928,VNM,0
1928,VGB,0
1928,MKD,0
1928,SDN,0
1928,BHR,0
1928,GRD,0
1928,LKA,0
1928,MUS,0
1928,SRB,0
1928,HKG,0
1928,CYP,0
1928,PAN,0
1928,ZMB,0
1928,MCO,0
1928,MOZ,0
1928,SUR,0
1928,AFG,0
1928,BDI,0
1928,GAB,0
1928,ECU,0
1928,CRI,0
1928,DJI,0
1928,ERI,0
1928,BRB,0
1928,TON,0
1932,DNK,11
1932,FIN,32
1932,NOR,10
1932,NLD,13
1932,FRA,42
1932,ITA,77
1932,ESP,1
1932,AZE,0
1932,RUS,0
1932,BLR,0
1932,CMR,0
1932,USA,223
1932,HUN,35
1932,GRC,0
1932,AUS,5
1932,IRN,0
1932,CAN,59
1932,PAK,0
1932,RUS,0
1932,UZB,0
1932,TJK,0
1932,RUS,0
1932,JPN,31
1932,ETH,0
1932,CHE,3
1932,DEU,0
1932,SWE,35
1932,ZAF,5
1932,TUR,0
1932,BGR,0
1932,EGY,0
1932,GBR,35
1932,JOR,0
1932,ROU,0
1932,PRI,0
1932,MEX,2
1932,GHA,0
1932,MAR,0
1932,NZL,2
1932,DEU,57
1932,ARG,4
1932,CUB,0
1932,URY,1
1932,POL,21
1932,CZE,6
1932,NER,0
1932,BRA,0
1932,AUT,7
